x,y,street_count,geometry,out_degree,in_degree
-8.6239494,41.1798161,3,POINT (-8.623949400000001 41.1798161),1,2
-8.6224076,41.1799712,3,POINT (-8.622407600000001 41.1799712),1,0
-8.5945277,41.1735411,3,POINT (-8.5945277 41.1735411),1,2
-8.5947981,41.1734158,3,POINT (-8.5947981 41.1734158),2,1
-8.5930012,41.179984,3,POINT (-8.5930012 41.179984),0,2
-8.593171,41.1807675,3,POINT (-8.593171 41.1807675),2,0
-8.6381035,41.170477,3,POINT (-8.6381035 41.170477),2,3
-8.6294021,41.1569695,3,POINT (-8.6294021 41.1569695),2,1
-8.6279141,41.1578748,3,POINT (-8.6279141 41.1578748),1,2
-8.6721342,41.1552865,3,POINT (-8.6721342 41.1552865),2,1
-8.6731032,41.154912,3,POINT (-8.6731032 41.154912),2,2
-8.6723674,41.154823,3,POINT (-8.672367400000001 41.154823),2,2
-8.6756822,41.1534242,4,POINT (-8.675682200000001 41.1534242),3,3
-8.6773006,41.1549514,3,POINT (-8.677300600000001 41.1549514),2,2
-8.6761166,41.1497859,4,POINT (-8.6761166 41.1497859),4,2
-8.672922,41.148765,5,POINT (-8.672922 41.148765),3,3
-8.6731276,41.1476677,3,POINT (-8.673127600000001 41.1476677),2,2
-8.6439449,41.1603361,4,POINT (-8.643944899999999 41.1603361),2,2
-8.6420585,41.1600204,4,POINT (-8.642058499999999 41.1600204),2,2
-8.6358336,41.1589918,4,POINT (-8.6358336 41.1589918),2,2
-8.658169,41.1607815,4,POINT (-8.658168999999999 41.1607815),2,2
-8.6880264,41.1681621,3,POINT (-8.6880264 41.1681621),2,1
-8.6884635,41.1683804,3,POINT (-8.688463499999999 41.1683804),1,2
-8.6885946,41.1673547,3,POINT (-8.6885946 41.1673547),2,1
-8.68815,41.1671451,3,POINT (-8.68815 41.1671451),2,2
-8.6818903,41.1571219,3,POINT (-8.681890299999999 41.1571219),2,3
-8.6541346,41.1484224,3,POINT (-8.654134600000001 41.1484224),1,2
-8.6548132,41.1482725,3,POINT (-8.6548132 41.1482725),2,2
-8.6613495,41.147489,3,POINT (-8.6613495 41.147489),3,3
-8.6533216,41.1485592,3,POINT (-8.6533216 41.1485592),2,1
-8.6540582,41.1486712,3,POINT (-8.6540582 41.1486712),1,2
-8.6532736,41.1485143,3,POINT (-8.6532736 41.1485143),2,2
-8.6532324,41.1483481,3,POINT (-8.6532324 41.1483481),2,2
-8.6540712,41.1489564,3,POINT (-8.654071200000001 41.1489564),2,2
-8.6459497,41.148402,3,POINT (-8.645949699999999 41.148402),3,3
-8.6375375,41.1483305,3,POINT (-8.637537500000001 41.1483305),2,3
-8.6359246,41.1481085,3,POINT (-8.635924599999999 41.1481085),3,3
-8.6355071,41.1509208,3,POINT (-8.6355071 41.1509208),1,2
-8.6336724,41.1510758,3,POINT (-8.6336724 41.1510758),2,1
-8.6449368,41.1539618,3,POINT (-8.6449368 41.1539618),2,1
-8.6337433,41.1474276,3,POINT (-8.633743300000001 41.1474276),3,3
-8.6328764,41.146954,3,POINT (-8.632876400000001 41.146954),3,3
-8.6267551,41.1447585,3,POINT (-8.6267551 41.1447585),3,2
-8.613438,41.1414248,3,POINT (-8.613438 41.1414248),3,2
-8.6145205,41.1416486,3,POINT (-8.614520499999999 41.1416486),2,3
-8.6153136,41.1416589,4,POINT (-8.6153136 41.1416589),3,2
-8.6880628,41.1684974,3,POINT (-8.688062800000001 41.1684974),2,2
-8.6882792,41.1726625,3,POINT (-8.6882792 41.1726625),2,2
-8.6883267,41.1730415,3,POINT (-8.688326699999999 41.1730415),1,2
-8.688282,41.1731246,3,POINT (-8.688281999999999 41.1731246),1,1
-8.6886988,41.1729125,3,POINT (-8.688698799999999 41.1729125),2,0
-8.6720372,41.1742724,3,POINT (-8.6720372 41.1742724),2,2
-8.6558113,41.1777347,3,POINT (-8.6558113 41.1777347),1,1
-8.6550442,41.1780031,3,POINT (-8.655044200000001 41.1780031),1,1
-8.6542056,41.17718,3,POINT (-8.654205599999999 41.17718),1,2
-8.6302214,41.1582765,3,POINT (-8.6302214 41.1582765),2,1
-8.6465497,41.1608929,5,POINT (-8.6465497 41.1608929),3,3
-8.6526817,41.1758181,3,POINT (-8.6526817 41.1758181),1,1
-8.6527948,41.1777597,3,POINT (-8.652794800000001 41.1777597),2,2
-8.6534286,41.1755873,3,POINT (-8.6534286 41.1755873),2,2
-8.6533976,41.1753435,3,POINT (-8.6533976 41.1753435),2,2
-8.6517451,41.1761621,4,POINT (-8.651745099999999 41.1761621),3,3
-8.6532698,41.1750611,4,POINT (-8.6532698 41.1750611),3,3
-8.6535476,41.1748229,3,POINT (-8.6535476 41.1748229),3,3
-8.6529931,41.1752892,4,POINT (-8.6529931 41.1752892),3,3
-8.6526768,41.1749388,3,POINT (-8.6526768 41.1749388),2,2
-8.652882,41.1749473,3,POINT (-8.652882 41.1749473),2,2
-8.6510449,41.1762338,3,POINT (-8.6510449 41.1762338),2,3
-8.6513189,41.1764453,3,POINT (-8.6513189 41.1764453),3,3
-8.6516243,41.1766913,3,POINT (-8.6516243 41.1766913),3,2
-8.6438249,41.1686788,3,POINT (-8.6438249 41.1686788),2,1
-8.6371713,41.1645081,5,POINT (-8.6371713 41.1645081),3,3
-8.6395478,41.1653756,3,POINT (-8.639547800000001 41.1653756),2,1
-8.6403342,41.1658371,3,POINT (-8.6403342 41.1658371),2,1
-8.6405004,41.1656611,3,POINT (-8.640500400000001 41.1656611),1,2
-8.6470294,41.1821035,3,POINT (-8.647029399999999 41.1821035),1,1
-8.6461294,41.1826079,4,POINT (-8.6461294 41.1826079),2,1
-8.6422114,41.1842601,3,POINT (-8.642211400000001 41.1842601),1,1
-8.6134596,41.1831689,4,POINT (-8.613459600000001 41.1831689),3,3
-8.6113737,41.1837498,3,POINT (-8.6113737 41.1837498),2,2
-8.6095467,41.1844453,5,POINT (-8.609546699999999 41.1844453),3,3
